antecedent,consequent,support,confidence,lift,rule_orders,antecedent_orders,customer_segment,category_segment
CS=Hibernating / Low Engagement,CATSEG=Streetwear|Performance,0.01570495204328877,0.13090398761130467,0.8784553677653334,8115,61992,Hibernating / Low Engagement,Streetwear|Performance
CS=Hibernating / Low Engagement,CATSEG=GenZ|Trendy,0.005815573738765589,0.04847399664472835,0.84570650809594,3005,61992,Hibernating / Low Engagement,GenZ|Trendy
CS=Hibernating / Low Engagement,CATSEG=Outdoor|Premium,0.004861471291773431,0.04052135759452832,0.8508283071564995,2512,61992,Hibernating / Low Engagement,Outdoor|Premium
CS=Hibernating / Low Engagement,CATSEG=Casual|All-weather,0.0038705981622399925,0.0322622273841786,0.9265971366262704,2000,61992,Hibernating / Low Engagement,Casual|All-weather
CS=Loyal Customers,CATSEG=Streetwear|Everyday,0.018336958793611965,0.27115588243711186,0.9655141298237583,9475,34943,Loyal Customers,Streetwear|Everyday
CS=Loyal Customers,CATSEG=Outdoor|Activewear,0.01570495204328877,0.23223535472054488,0.8840019120252608,8115,34943,Loyal Customers,Outdoor|Activewear
CS=Loyal Customers,CATSEG=Streetwear|Balanced,0.012207866603704936,0.18052256532066507,1.1345727405246337,6308,34943,Loyal Customers,Streetwear|Balanced
CS=Loyal Customers,CATSEG=Streetwear|Performance,0.009426841824135501,0.13939844890249836,0.9354590179496272,4871,34943,Loyal Customers,Streetwear|Performance
CS=Loyal Customers,CATSEG=GenZ|Trendy,0.00498920103112735,0.073777294450963,1.2871630644401457,2578,34943,Loyal Customers,GenZ|Trendy
CS=Loyal Customers,CATSEG=Outdoor|Premium,0.003053901950007354,0.04515925936525198,0.9482104864958163,1578,34943,Loyal Customers,Outdoor|Premium
CS=Loyal Customers,CATSEG=Casual|All-weather,0.002784895377731675,0.04118135248833815,1.182761588147637,1439,34943,Loyal Customers,Casual|All-weather
