date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source
2013-05-08,28654,20921,130897,0.00408,302.5,organic_search
2013-05-09,26771,19690,142781,0.00509,182.8,paid_search
2013-05-10,26830,19447,124787,0.00391,153.5,organic_search
2013-05-11,28668,21307,137833,0.00495,215.2,paid_search
2013-05-12,27438,22374,128020,0.00428,301.0,social_media
2013-05-13,26357,19629,90559,0.00574,131.4,paid_search
2013-05-14,26056,20140,115695,0.00322,116.0,social_media
2013-05-15,29084,22687,146585,0.00436,188.5,direct
2013-05-16,26638,19759,113183,0.00522,314.0,referral
2013-05-17,24122,18498,132379,0.00353,308.1,organic_search
2013-05-18,23202,17262,103657,0.00445,270.5,email_campaign
2013-05-19,25148,20307,89419,0.00518,105.8,social_media
2013-05-20,23328,18639,95417,0.00444,116.7,organic_search
2013-05-21,28407,22048,108703,0.00491,277.6,referral
2013-05-22,25706,19005,88509,0.00537,198.2,social_media
2013-05-23,22398,17580,109248,0.00403,121.3,email_campaign
2013-05-24,25714,20338,120745,0.00445,116.7,social_media
2013-05-25,26078,21237,92476,0.00385,141.3,paid_search
2013-05-26,29842,21470,103585,0.00491,317.6,organic_search
2013-05-27,25522,20808,123734,0.005,267.2,social_media
2013-05-28,25369,18149,102736,0.00391,253.4,paid_search
2013-05-29,23853,18613,85854,0.00337,120.5,referral
2013-05-30,27287,20624,123833,0.00446,173.2,organic_search
2013-05-31,26902,19521,103623,0.00321,257.9,social_media
2013-06-01,25458,18115,131842,0.00372,186.4,organic_search
2013-06-02,23735,17119,76080,0.00346,260.9,organic_search
2013-06-03,25536,19209,97821,0.00537,174.4,direct
2013-06-04,27334,19831,110854,0.00401,310.6,organic_search
2013-06-05,28445,21988,137505,0.0039,209.5,social_media
2013-06-06,26397,18897,125873,0.00512,154.8,social_media
2013-06-07,26823,18932,134357,0.00399,224.4,email_campaign
2013-06-08,27553,21069,147243,0.00562,207.9,paid_search
2013-06-09,24891,19205,125165,0.00507,280.4,social_media
2013-06-10,28861,23567,100856,0.00478,231.8,organic_search
2013-06-11,23368,17790,126304,0.00561,172.9,organic_search
2013-06-12,25933,21079,127206,0.00527,116.5,paid_search
2013-06-13,27752,19777,151236,0.00347,106.4,organic_search
2013-06-14,27755,21197,126500,0.00556,219.8,email_campaign
2013-06-15,26928,21083,98828,0.00495,269.9,organic_search
2013-06-16,26115,18984,119810,0.00417,313.2,paid_search
2013-06-17,28092,21312,92163,0.00378,152.1,organic_search
2013-06-18,25085,19903,133701,0.00478,191.8,social_media
2013-06-19,28632,23372,112269,0.00514,130.0,social_media
2013-06-20,25557,20425,116849,0.00534,122.0,paid_search
2013-06-21,29053,21451,103139,0.00566,139.1,email_campaign
2013-06-22,26367,21250,113536,0.00407,255.4,paid_search
2013-06-23,27355,21580,146783,0.00397,253.1,organic_search
2013-06-24,26497,21120,97404,0.00364,178.5,paid_search
2013-06-25,29694,21606,125033,0.00538,177.8,paid_search
2013-06-26,27207,20220,127226,0.00399,190.0,direct
2013-06-27,26545,20261,100022,0.00427,186.3,paid_search
2013-06-28,23891,17776,91798,0.00447,121.5,social_media
2013-06-29,28947,21255,158795,0.00327,305.7,organic_search
2013-06-30,26808,20585,139193,0.0058,210.3,organic_search
2013-07-01,20717,14990,103616,0.00537,166.5,referral
2013-07-02,22158,16944,96216,0.00543,318.6,paid_search
2013-07-03,20624,16244,90498,0.00532,317.6,direct
2013-07-04,20224,15518,96547,0.00434,133.9,paid_search
2013-07-05,22308,16026,110365,0.00435,162.3,paid_search
2013-07-06,19852,14493,104084,0.00367,171.3,paid_search
2013-07-07,19573,15181,74366,0.00554,219.4,paid_search
2013-07-08,18865,14238,78747,0.00327,160.0,organic_search
2013-07-09,22779,18244,96006,0.00444,299.1,organic_search
2013-07-10,22911,17844,91089,0.00504,214.5,organic_search
2013-07-11,22159,15665,121194,0.00486,156.7,email_campaign
2013-07-12,21395,17049,79697,0.0046,106.4,referral
2013-07-13,20990,16293,82169,0.00342,184.3,social_media
2013-07-14,19989,14732,82309,0.00387,208.7,paid_search
2013-07-15,18587,13497,84767,0.00407,199.4,social_media
2013-07-16,19711,16037,88626,0.00484,256.8,referral
2013-07-17,19882,14587,66793,0.00416,180.4,organic_search
2013-07-18,19517,13750,66929,0.00401,219.2,organic_search
2013-07-19,21059,16557,96682,0.00435,183.6,social_media
2013-07-20,21432,15474,75600,0.00475,172.1,social_media
2013-07-21,22930,16061,97731,0.00555,187.7,organic_search
2013-07-22,19228,13486,71073,0.00429,107.5,organic_search
2013-07-23,20992,16978,97061,0.00414,201.3,social_media
2013-07-24,23873,18037,83203,0.00565,202.2,email_campaign
2013-07-25,24318,18975,100129,0.00497,186.2,direct
2013-07-26,20769,14594,72595,0.00562,249.5,direct
2013-07-27,18198,12889,70117,0.00462,279.9,social_media
2013-07-28,25026,18160,120386,0.00397,136.1,paid_search
2013-07-29,20760,15605,109067,0.0045,211.4,email_campaign
2013-07-30,22570,17674,74423,0.00426,112.1,organic_search
2013-07-31,21645,16539,81092,0.00565,219.7,organic_search
2013-08-01,23532,17995,95876,0.004,186.4,paid_search
2013-08-02,22089,17760,76290,0.00367,144.5,organic_search
2013-08-03,19760,15958,85952,0.0044,205.7,referral
2013-08-04,22135,16046,73001,0.00542,158.4,social_media
2013-08-05,25518,20607,95149,0.00565,188.0,paid_search
2013-08-06,21270,15427,110319,0.00402,315.4,organic_search
2013-08-07,21729,17596,106146,0.00321,193.3,paid_search
2013-08-08,25048,20133,88852,0.00572,312.2,organic_search
2013-08-09,21871,16990,105802,0.00368,317.0,organic_search
2013-08-10,22931,17591,107729,0.00561,223.1,referral
2013-08-11,20544,15209,90834,0.00475,235.5,social_media
2013-08-12,24576,17742,103910,0.00536,219.8,direct
2013-08-13,19843,14706,70310,0.00566,283.4,organic_search
2013-08-14,23377,16422,106286,0.00503,244.7,social_media
2013-08-15,24562,17671,104078,0.00479,110.5,social_media
2013-08-16,21594,15178,70937,0.0042,127.9,paid_search
2013-08-17,25258,19092,110262,0.0049,127.6,organic_search
2013-08-18,24646,19117,120067,0.00336,285.5,social_media
2013-08-19,23836,16878,127242,0.00558,162.3,direct
2013-08-20,23145,16573,76874,0.00421,177.2,email_campaign
2013-08-21,22174,17667,88785,0.00393,127.8,organic_search
2013-08-22,20674,16052,88395,0.00368,108.9,paid_search
2013-08-23,21969,16007,73448,0.00484,146.4,direct
2013-08-24,22020,16468,117994,0.0054,253.3,organic_search
2013-08-25,23027,18302,124556,0.00326,316.9,social_media
2013-08-26,23617,17269,78791,0.00429,183.7,paid_search
2013-08-27,23901,18422,99962,0.00322,233.3,email_campaign
2013-08-28,21366,17094,107444,0.00472,134.2,referral
2013-08-29,23147,16818,83676,0.00408,183.8,organic_search
2013-08-30,26500,20681,114458,0.00412,231.9,organic_search
2013-08-31,23963,18130,80783,0.00437,274.4,social_media
2013-09-01,17091,12233,74574,0.00518,106.8,referral
2013-09-02,15376,12350,50005,0.00401,157.3,organic_search
2013-09-03,15581,10983,59990,0.0041,202.7,organic_search
2013-09-04,16020,12505,55806,0.00437,176.3,email_campaign
2013-09-05,16582,13189,57021,0.00488,181.5,paid_search
2013-09-06,16237,13287,87609,0.00406,224.6,paid_search
2013-09-07,15613,12209,55336,0.00413,318.7,referral
2013-09-08,16962,13239,74004,0.00329,119.6,referral
2013-09-09,18127,13415,88280,0.0048,240.7,organic_search
2013-09-10,17160,14066,72179,0.00438,268.7,referral
2013-09-11,16910,11894,65138,0.00501,207.1,organic_search
2013-09-12,15632,11865,60436,0.00503,296.5,paid_search
2013-09-13,17916,12765,59697,0.00367,103.5,organic_search
2013-09-14,16694,12421,90074,0.00564,308.3,social_media
2013-09-15,15207,11403,64405,0.00553,177.3,email_campaign
2013-09-16,16977,12773,84823,0.00353,102.7,organic_search
2013-09-17,19210,15448,69626,0.0057,203.0,direct
2013-09-18,19581,14167,80144,0.00458,158.9,organic_search
2013-09-19,15000,11585,73236,0.00538,238.9,paid_search
2013-09-20,18009,13483,64698,0.00462,111.3,organic_search
2013-09-21,16298,12409,85777,0.00417,271.6,organic_search
2013-09-22,17457,13570,77141,0.00483,315.5,paid_search
2013-09-23,13116,10363,70856,0.00407,179.1,organic_search
2013-09-24,18830,14326,90846,0.00449,140.7,email_campaign
2013-09-25,16433,12462,72743,0.00541,206.6,organic_search
2013-09-26,16255,11501,53823,0.00555,165.9,organic_search
2013-09-27,15631,12772,85398,0.00532,292.3,organic_search
2013-09-28,19359,15652,74052,0.00382,154.5,paid_search
2013-09-29,19815,14640,88791,0.00538,281.9,social_media
2013-09-30,17778,13505,90690,0.00535,226.8,organic_search
2013-10-01,13710,9680,52584,0.00324,209.8,email_campaign
2013-10-02,12941,9851,71024,0.00539,205.0,organic_search
2013-10-03,13080,9748,44993,0.00499,125.5,organic_search
2013-10-04,15477,12022,78604,0.00375,156.7,social_media
2013-10-05,13994,10098,68009,0.00564,314.4,referral
2013-10-06,14105,11490,70993,0.00435,122.9,paid_search
2013-10-07,12570,9552,45109,0.00325,181.8,organic_search
2013-10-08,13093,10025,58429,0.00339,138.1,direct
2013-10-09,12218,9764,50149,0.00469,209.6,organic_search
2013-10-10,13055,10029,43148,0.00534,176.8,organic_search
2013-10-11,13725,9778,64212,0.00375,220.2,organic_search
2013-10-12,13023,10257,64771,0.0055,256.2,organic_search
2013-10-13,13045,9157,51450,0.00425,160.5,organic_search
2013-10-14,14459,11334,50446,0.00413,231.0,organic_search
2013-10-15,13895,11304,65905,0.00361,224.3,organic_search
2013-10-16,12929,9667,64283,0.00423,261.5,paid_search
2013-10-17,12216,9304,57228,0.00462,144.0,direct
2013-10-18,12323,9163,60959,0.00406,231.9,referral
2013-10-19,11963,9407,54624,0.00537,276.6,social_media
2013-10-20,14009,10602,54466,0.00482,314.7,email_campaign
2013-10-21,12745,9506,53990,0.00578,274.1,organic_search
2013-10-22,14589,10511,47642,0.00338,207.1,direct
2013-10-23,13717,10722,60164,0.0035,121.5,social_media
2013-10-24,12783,9260,50277,0.00481,108.1,organic_search
2013-10-25,12510,9642,46132,0.00342,284.2,social_media
2013-10-26,12422,8842,45914,0.00452,197.1,organic_search
2013-10-27,13304,10333,64827,0.00326,308.3,social_media
2013-10-28,14257,11502,64149,0.00469,263.5,paid_search
2013-10-29,15101,11332,69384,0.0055,290.4,paid_search
2013-10-30,11718,8876,59818,0.00461,172.4,referral
2013-10-31,15782,12006,85169,0.00421,193.6,referral
2013-11-01,13644,10009,46358,0.00343,180.9,social_media
2013-11-02,11668,9313,57812,0.00481,183.2,direct
2013-11-03,11609,8407,59878,0.00519,290.6,organic_search
2013-11-04,10715,8320,47693,0.00409,266.8,email_campaign
2013-11-05,11604,8132,44253,0.00497,316.4,paid_search
2013-11-06,10138,7332,55455,0.00424,236.5,direct
2013-11-07,9896,7936,41435,0.00372,271.6,direct
2013-11-08,11835,9472,50627,0.00447,235.1,organic_search
2013-11-09,11950,8786,61115,0.00577,316.8,social_media
2013-11-10,11694,8912,52770,0.00377,101.7,direct
2013-11-11,12691,10310,49619,0.00487,218.3,social_media
2013-11-12,10332,7718,56650,0.00385,152.9,social_media
2013-11-13,10669,7530,43743,0.00394,198.0,organic_search
2013-11-14,10545,7419,41667,0.00497,139.8,email_campaign
2013-11-15,10155,8283,45684,0.00499,255.2,organic_search
2013-11-16,10651,7729,53104,0.00423,159.4,social_media
2013-11-17,12887,10510,44818,0.00439,166.4,paid_search
2013-11-18,12188,9286,39130,0.00448,159.6,paid_search
2013-11-19,11008,8981,50511,0.00405,176.1,organic_search
2013-11-20,11167,9011,38482,0.00329,136.0,social_media
2013-11-21,11384,9190,49377,0.00389,193.8,social_media
2013-11-22,11413,9153,40833,0.00568,255.2,social_media
2013-11-23,11180,8348,47452,0.00427,200.9,organic_search
2013-11-24,11573,8198,52687,0.00349,315.3,organic_search
2013-11-25,11593,9021,39009,0.00519,207.0,paid_search
2013-11-26,12310,9377,51458,0.00486,198.6,referral
2013-11-27,12543,10098,65740,0.0054,126.5,paid_search
2013-11-28,10476,7994,55311,0.00562,142.4,direct
2013-11-29,11266,8171,45345,0.00373,106.9,referral
2013-11-30,11143,8100,53974,0.00531,167.4,organic_search
2013-12-01,12906,9103,46795,0.00459,124.7,organic_search
2013-12-02,12341,9953,43684,0.00475,114.8,social_media
2013-12-03,14986,12043,65628,0.00503,162.8,organic_search
2013-12-04,13847,10991,54490,0.00483,149.8,social_media
2013-12-05,12296,8669,53642,0.00329,227.5,referral
2013-12-06,12192,9853,54072,0.00459,254.2,paid_search
2013-12-07,12562,8902,51547,0.00444,184.5,paid_search
2013-12-08,13175,9415,45023,0.00462,178.1,organic_search
2013-12-09,14634,10378,61409,0.00497,182.9,organic_search
2013-12-10,14413,10733,46851,0.00408,254.9,social_media
2013-12-11,13334,9646,50387,0.00393,167.0,paid_search
2013-12-12,13714,10039,62414,0.00556,168.4,organic_search
2013-12-13,13337,9763,69039,0.00439,294.0,organic_search
2013-12-14,12138,9093,60465,0.00555,228.5,paid_search
2013-12-15,12391,10022,52207,0.00356,119.5,organic_search
2013-12-16,12596,9700,58261,0.00574,104.0,social_media
2013-12-17,13408,10752,57040,0.00425,316.2,paid_search
2013-12-18,13825,10901,72395,0.0045,154.0,organic_search
2013-12-19,13925,11168,63968,0.00445,176.4,social_media
2013-12-20,10678,8634,38513,0.00405,256.3,organic_search
2013-12-21,11879,8813,56301,0.00341,119.1,email_campaign
2013-12-22,13955,9944,47679,0.00429,138.2,organic_search
2013-12-23,13029,10369,52511,0.00522,305.5,direct
2013-12-24,12470,9370,54463,0.00563,281.4,social_media
2013-12-25,13141,10384,67446,0.00482,193.3,social_media
2013-12-26,13040,9292,57219,0.00539,314.3,organic_search
2013-12-27,12152,8597,59360,0.00338,229.1,social_media
2013-12-28,13571,10335,71175,0.00493,279.6,email_campaign
2013-12-29,14050,11493,56883,0.00416,174.7,organic_search
2013-12-30,11723,8674,59465,0.00458,265.2,email_campaign
2013-12-31,14417,11430,46209,0.00578,308.1,direct
2014-01-01,10162,8295,36165,0.00534,235.0,paid_search
2014-01-02,12776,10056,46028,0.00366,238.7,paid_search
2014-01-03,10230,8247,42607,0.00543,249.9,social_media
2014-01-04,11496,8503,57148,0.00507,207.9,email_campaign
2014-01-05,8870,6926,44512,0.00456,166.9,organic_search
2014-01-06,10178,7568,55426,0.004,138.1,organic_search
2014-01-07,10724,7860,45535,0.00329,192.2,organic_search
2014-01-08,11340,9281,41050,0.00362,221.5,social_media
2014-01-09,12137,9810,46390,0.00361,223.5,email_campaign
2014-01-10,10545,8273,53901,0.00372,307.1,email_campaign
2014-01-11,11306,9172,52326,0.0045,116.2,referral
2014-01-12,10212,7242,48240,0.00495,177.3,social_media
2014-01-13,11373,8627,58511,0.00345,159.0,direct
2014-01-14,9693,7471,36668,0.00468,142.0,paid_search
2014-01-15,10310,7878,44709,0.00362,123.8,direct
2014-01-16,11632,8624,55483,0.00545,222.1,social_media
2014-01-17,10035,7721,34898,0.00514,163.8,organic_search
2014-01-18,11008,7875,51195,0.00469,156.6,paid_search
2014-01-19,10951,8766,39504,0.00561,139.8,paid_search
2014-01-20,10678,8033,41933,0.00414,149.6,organic_search
2014-01-21,12658,10040,58632,0.00331,185.2,social_media
2014-01-22,11638,9145,51241,0.00416,267.6,organic_search
2014-01-23,8560,6503,36491,0.00513,219.7,social_media
2014-01-24,10811,8705,44738,0.00511,198.0,organic_search
2014-01-25,11205,8252,55016,0.00535,291.3,organic_search
2014-01-26,9240,6492,46324,0.00327,254.1,paid_search
2014-01-27,7973,6381,31862,0.0051,245.5,organic_search
2014-01-28,11746,8341,61175,0.00402,134.5,paid_search
2014-01-29,12266,9150,42684,0.00535,240.4,referral
2014-01-30,9689,7229,34153,0.0039,121.9,paid_search
2014-01-31,9999,7139,45816,0.00411,127.7,email_campaign
2014-02-01,15250,10976,74103,0.00324,262.1,organic_search
2014-02-02,15769,11975,54002,0.005,317.7,social_media
2014-02-03,15293,12184,75902,0.0052,219.2,direct
2014-02-04,15527,11742,63891,0.00455,221.7,referral
2014-02-05,14372,10247,59542,0.00551,124.6,paid_search
2014-02-06,17900,13155,75113,0.00528,271.7,email_campaign
2014-02-07,16078,11903,80234,0.00536,212.0,social_media
2014-02-08,16853,12274,90385,0.00432,128.0,paid_search
2014-02-09,16200,11546,85048,0.00427,141.2,paid_search
2014-02-10,15696,11222,73058,0.00533,199.8,direct
2014-02-11,14584,11159,63707,0.0049,284.3,organic_search
2014-02-12,14476,10599,47339,0.0044,132.8,paid_search
2014-02-13,16062,12629,78816,0.005,145.4,social_media
2014-02-14,14509,11532,61350,0.00389,226.3,organic_search
2014-02-15,14141,10885,63673,0.00439,291.0,referral
2014-02-16,15943,12928,83331,0.00325,209.3,organic_search
2014-02-17,14961,12046,63357,0.00394,245.0,direct
2014-02-18,15257,11443,57332,0.00358,309.9,organic_search
2014-02-19,15472,11216,62065,0.0044,146.7,social_media
2014-02-20,15337,11846,72379,0.00514,287.0,referral
2014-02-21,12479,9867,62474,0.00414,314.8,organic_search
2014-02-22,16863,12049,89182,0.00357,288.5,organic_search
2014-02-23,18734,14921,100009,0.0047,163.2,social_media
2014-02-24,16007,11852,56518,0.00507,193.7,organic_search
2014-02-25,17906,12878,67027,0.00528,196.8,paid_search
2014-02-26,15690,12798,75723,0.00465,144.7,social_media
2014-02-27,16405,11852,58497,0.00444,185.3,email_campaign
2014-02-28,13184,10619,64378,0.00446,103.1,paid_search
2014-03-01,23068,18188,89795,0.00443,214.4,social_media
2014-03-02,23861,17740,83970,0.00555,278.5,referral
2014-03-03,22641,15964,108362,0.00522,271.4,organic_search
2014-03-04,20167,16226,97482,0.0051,161.5,organic_search
2014-03-05,23200,16311,80376,0.00399,255.7,organic_search
2014-03-06,24291,18643,86328,0.00413,132.9,organic_search
2014-03-07,20656,16435,109054,0.00462,295.0,paid_search
2014-03-08,20789,15662,93141,0.00366,173.0,email_campaign
2014-03-09,20453,15397,92789,0.00389,280.1,organic_search
2014-03-10,22824,16607,119164,0.00448,254.9,direct
2014-03-11,21099,15989,103643,0.00562,181.8,direct
2014-03-12,21452,16567,83714,0.00563,292.5,organic_search
2014-03-13,22441,16314,121601,0.00427,313.9,organic_search
2014-03-14,21483,15918,116693,0.00539,257.6,referral
2014-03-15,21970,16562,77321,0.00331,254.5,direct
2014-03-16,24630,17335,97783,0.00347,150.4,paid_search
2014-03-17,23340,16575,125068,0.00453,191.6,paid_search
2014-03-18,21053,16281,111523,0.00456,247.3,social_media
2014-03-19,21922,16740,74242,0.0055,287.1,organic_search
2014-03-20,20278,15014,82640,0.0043,133.6,organic_search
2014-03-21,21123,16314,83362,0.00392,188.7,direct
2014-03-22,21770,16029,96726,0.00414,193.0,email_campaign
2014-03-23,20889,15510,67631,0.00542,287.5,social_media
2014-03-24,18783,14040,72777,0.00362,241.1,email_campaign
2014-03-25,20978,15803,73386,0.00516,114.2,email_campaign
2014-03-26,20541,16241,84830,0.00567,319.9,organic_search
2014-03-27,22481,18073,111766,0.0043,317.8,paid_search
2014-03-28,21260,16689,81224,0.00368,251.1,organic_search
2014-03-29,24623,19993,90493,0.00419,173.8,email_campaign
2014-03-30,21014,17170,96869,0.00361,266.0,organic_search
2014-03-31,23037,16851,99689,0.00499,208.7,organic_search
2014-04-01,31669,24005,146762,0.00435,236.5,social_media
2014-04-02,31084,23844,121167,0.00342,311.2,email_campaign
2014-04-03,27680,21795,123121,0.00436,187.2,paid_search
2014-04-04,33564,27006,178036,0.00455,230.0,paid_search
2014-04-05,29571,20726,141514,0.00443,301.8,organic_search
2014-04-06,29897,24048,113402,0.00362,202.1,paid_search
2014-04-07,27724,20365,96746,0.0045,212.3,paid_search
2014-04-08,27636,20497,143557,0.00359,152.9,social_media
2014-04-09,29270,21990,145987,0.00502,224.1,organic_search
2014-04-10,29376,21760,105496,0.00426,179.3,paid_search
2014-04-11,27935,22850,118469,0.00472,217.1,paid_search
2014-04-12,28989,20697,124163,0.00518,223.2,organic_search
2014-04-13,32172,24250,152724,0.00439,120.4,organic_search
2014-04-14,28984,21787,99668,0.00367,259.6,paid_search
2014-04-15,31036,22252,162557,0.00513,171.6,referral
2014-04-16,29288,23345,143059,0.00332,225.9,organic_search
