zip,city,region,district
16022,Phu Ly,East,District #13
16023,Viet Tri,East,District #13
16024,Bac Giang,East,District #13
16025,Viet Tri,East,District #13
16027,Nam Dinh,East,District #13
16028,Phu Ly,East,District #13
16029,Cam Pha,East,District #13
16030,Bac Giang,East,District #13
16033,Cam Pha,East,District #13
16034,Cam Pha,East,District #13
16035,Hanoi,East,District #13
16036,Hai Phong,East,District #13
16037,Nam Dinh,East,District #13
16038,Hai Phong,East,District #13
16039,Bac Giang,East,District #13
16040,Viet Tri,East,District #13
16041,Viet Tri,East,District #13
16045,Bac Giang,East,District #13
16046,Ninh Binh,East,District #13
16048,Cam Pha,East,District #13
16049,Hai Phong,East,District #13
16050,Phu Ly,East,District #13
16051,Uong Bi,East,District #13
16052,Uong Bi,East,District #13
16053,Cam Pha,East,District #13
16054,Cam Pha,East,District #13
16055,Hai Phong,East,District #13
16056,Cam Pha,East,District #13
16057,Ninh Binh,East,District #13
16058,Thai Nguyen,East,District #13
16059,Uong Bi,East,District #13
16061,Hanoi,East,District #13
16063,Thai Nguyen,East,District #13
16066,Bac Giang,East,District #13
16101,Son Tay,East,District #13
16102,Nam Dinh,East,District #13
16103,Nam Dinh,East,District #13
16105,Bac Ninh,East,District #13
16107,Son Tay,East,District #13
16108,Ninh Binh,East,District #13
16110,Hanoi,East,District #13
16111,Nam Dinh,East,District #13
16112,Ninh Binh,East,District #13
16115,Hanoi,East,District #13
16116,Ninh Binh,East,District #13
16117,Nam Dinh,East,District #13
16120,Lao Cai,East,District #13
16123,Thai Nguyen,East,District #13
16130,Bac Giang,East,District #13
16131,Viet Tri,East,District #13
16132,Hai Phong,East,District #13
16134,Cam Pha,East,District #13
16136,Cam Pha,East,District #13
16140,Phu Ly,East,District #13
16141,Son Tay,East,District #13
16142,Viet Tri,East,District #13
16143,Bac Ninh,East,District #13
16151,Bac Ninh,East,District #13
16155,Bac Ninh,East,District #13
16156,Ninh Binh,East,District #13
16157,Thai Nguyen,East,District #13
16160,Ha Long,East,District #13
16172,Thai Nguyen,East,District #13
16201,Hanoi,East,District #13
16210,Hai Phong,East,District #13
16211,Hai Phong,East,District #13
16212,Phu Ly,East,District #13
16213,Phu Ly,East,District #13
16214,Viet Tri,East,District #13
16217,Bac Giang,East,District #13
16218,Phu Ly,East,District #13
16220,Ha Long,East,District #13
16221,Lao Cai,East,District #13
16222,Cam Pha,East,District #13
16223,Son Tay,East,District #13
16224,Ha Long,East,District #13
16225,Bac Giang,East,District #13
16226,Viet Tri,East,District #13
16228,Bac Giang,East,District #13
16229,Bac Giang,East,District #13
16230,Ha Long,East,District #13
16232,Bac Ninh,East,District #13
16233,Nam Dinh,East,District #13
16234,Thai Nguyen,East,District #13
16235,Viet Tri,East,District #13
16236,Uong Bi,East,District #13
16238,Uong Bi,East,District #13
16239,Bac Ninh,East,District #13
16240,Son Tay,East,District #13
16242,Hai Phong,East,District #13
16244,Thai Nguyen,East,District #13
16245,Hai Phong,East,District #13
16246,Thai Nguyen,East,District #13
16248,Son Tay,East,District #13
16249,Bac Ninh,East,District #13
16250,Lao Cai,East,District #13
16253,Bac Giang,East,District #13
16254,Viet Tri,East,District #13
16255,Bac Giang,East,District #13
16256,Nam Dinh,East,District #13
16257,Phu Ly,East,District #13
16258,Son Tay,East,District #13
16259,Nam Dinh,East,District #13
16260,Phu Ly,East,District #13
16261,Nam Dinh,East,District #13
16262,Phu Ly,East,District #13
16263,Ninh Binh,East,District #13
16301,Bac Giang,East,District #13
16311,Phu Ly,East,District #13
16314,Nam Dinh,East,District #13
16316,Hai Phong,East,District #13
16317,Hai Phong,East,District #13
16319,Bac Giang,East,District #13
16322,Lao Cai,East,District #13
16323,Hai Phong,East,District #13
16326,Bac Giang,East,District #13
16327,Viet Tri,East,District #13
16328,Ha Long,East,District #13
16331,Phu Ly,East,District #13
16332,Thai Nguyen,East,District #13
16334,Ninh Binh,East,District #13
16335,Uong Bi,East,District #13
16341,Cam Pha,East,District #13
16343,Ha Long,East,District #13
16344,Bac Giang,East,District #13
16346,Ninh Binh,East,District #13
16353,Hanoi,East,District #13
16354,Phu Ly,East,District #13
16360,Bac Giang,East,District #13
16361,Phu Ly,East,District #13
16362,Viet Tri,East,District #13
16364,Bac Giang,East,District #13
16370,Thai Nguyen,East,District #13
16372,Uong Bi,East,District #13
16373,Hai Phong,East,District #13
16374,Uong Bi,East,District #13
16375,Hai Phong,East,District #13
16388,Viet Tri,East,District #13
16403,Uong Bi,East,District #13
16404,Hai Phong,East,District #13
16406,Phu Ly,East,District #13
16422,Bac Ninh,East,District #13
16424,Ninh Binh,East,District #13
16432,Hanoi,East,District #13
16433,Ha Long,East,District #13
16434,Bac Giang,East,District #13
16435,Ha Long,East,District #13
16436,Thai Nguyen,East,District #13
16440,Viet Tri,East,District #13
16601,Ha Long,East,District #13
16602,Viet Tri,East,District #13
16603,Hai Phong,East,District #13
16611,Ha Long,East,District #13
16613,Uong Bi,East,District #13
16616,Ninh Binh,East,District #13
16617,Ha Long,East,District #13
16619,Thai Nguyen,East,District #13
16620,Lao Cai,East,District #13
16621,Son Tay,East,District #13
16622,Uong Bi,East,District #13
16623,Bac Giang,East,District #13
16624,Thai Nguyen,East,District #13
16625,Uong Bi,East,District #13
16627,Uong Bi,East,District #13
16629,Thai Nguyen,East,District #13
16630,Hanoi,East,District #13
16631,Ha Long,East,District #13
16633,Son Tay,East,District #13
16634,Bac Ninh,East,District #13
16635,Bac Giang,East,District #13
16636,Bac Giang,East,District #13
16637,Phu Ly,East,District #13
16638,Hanoi,East,District #13
16639,Hai Phong,East,District #13
16640,Nam Dinh,East,District #13
16641,Bac Giang,East,District #13
16644,Viet Tri,East,District #13
16645,Bac Giang,East,District #13
16646,Bac Giang,East,District #13
16647,Son Tay,East,District #13
16648,Ha Long,East,District #13
16650,Uong Bi,East,District #13
16651,Cam Pha,East,District #13
16652,Bac Giang,East,District #13
16654,Ninh Binh,East,District #13
16655,Nam Dinh,East,District #13
16656,Son Tay,East,District #13
16657,Thai Nguyen,East,District #13
16659,Cam Pha,East,District #13
16660,Cam Pha,East,District #13
16661,Ninh Binh,East,District #13
16662,Bac Giang,East,District #13
16663,Nam Dinh,East,District #13
16664,Hanoi,East,District #13
16665,Bac Ninh,East,District #13
16666,Ninh Binh,East,District #13
16667,Hanoi,East,District #13
16668,Lao Cai,East,District #13
16669,Cam Pha,East,District #13
16670,Hai Phong,East,District #13
16671,Thai Nguyen,East,District #13
16672,Cam Pha,East,District #13
16673,Thai Nguyen,East,District #13
16674,Hai Phong,East,District #13
16675,Viet Tri,East,District #13
16678,Viet Tri,East,District #13
16679,Hai Phong,East,District #13
16680,Nam Dinh,East,District #13
16681,Nam Dinh,East,District #13
16682,Viet Tri,East,District #13
16683,Phu Ly,East,District #13
16684,Phu Ly,East,District #13
16685,Son Tay,East,District #13
16686,Phu Ly,East,District #13
16692,Thai Nguyen,East,District #13
16693,Hai Phong,East,District #13
16694,Uong Bi,East,District #13
16695,Lao Cai,East,District #13
16698,Son Tay,East,District #13
16699,Nam Dinh,East,District #13
16728,Nam Dinh,East,District #13
16734,Hanoi,East,District #13
16735,Hai Phong,East,District #13
16821,Cam Pha,East,District #13
16825,Cam Pha,East,District #13
16830,Bac Ninh,East,District #13
16833,Thai Nguyen,East,District #13
16834,Ninh Binh,East,District #13
16836,Bac Giang,East,District #13
16837,Ninh Binh,East,District #13
16838,Son Tay,East,District #13
16839,Thai Nguyen,East,District #13
16840,Ha Long,East,District #13
16843,Son Tay,East,District #13
16845,Uong Bi,East,District #13
16847,Thai Nguyen,East,District #13
16849,Uong Bi,East,District #13
16850,Cam Pha,East,District #13
16855,Lao Cai,East,District #13
16858,Nam Dinh,East,District #13
16860,Son Tay,East,District #13
16861,Son Tay,East,District #13
16863,Ha Long,East,District #13
16871,Ha Long,East,District #13
16873,Cam Pha,East,District #13
16876,Hanoi,East,District #13
16877,Thai Nguyen,East,District #13
16878,Bac Giang,East,District #13
16879,Son Tay,East,District #13
16881,Son Tay,East,District #13
17052,Ha Long,East,District #13
17060,Lao Cai,East,District #13
17066,Hai Phong,East,District #13
17075,Phu Ly,East,District #13
15001,Ninh Binh,East,District #13
15003,Lao Cai,East,District #13
15004,Nam Dinh,East,District #13
15005,Lao Cai,East,District #13
15006,Hai Phong,East,District #13
15007,Cam Pha,East,District #13
15009,Bac Giang,East,District #13
15010,Thai Nguyen,East,District #13
15012,Hanoi,East,District #13
15014,Phu Ly,East,District #13
15015,Thai Nguyen,East,District #13
15017,Viet Tri,East,District #13
15018,Bac Ninh,East,District #13
15019,Bac Ninh,East,District #13
15020,Lao Cai,East,District #13
15021,Hai Phong,East,District #13
15022,Phu Ly,East,District #13
15024,Phu Ly,East,District #13
15025,Bac Ninh,East,District #13
15026,Nam Dinh,East,District #13
15027,Hanoi,East,District #13
15028,Son Tay,East,District #13
15030,Son Tay,East,District #13
15031,Nam Dinh,East,District #13
15032,Hanoi,East,District #13
15033,Hai Phong,East,District #13
15034,Hanoi,East,District #13
15035,Ninh Binh,East,District #13
15037,Lao Cai,East,District #13
15038,Ha Long,East,District #13
15042,Phu Ly,East,District #13
15043,Ha Long,East,District #13
15044,Bac Ninh,East,District #13
15045,Uong Bi,East,District #13
15046,Phu Ly,East,District #13
15047,Lao Cai,East,District #13
15049,Hanoi,East,District #13
15050,Ha Long,East,District #13
15051,Nam Dinh,East,District #13
15052,Thai Nguyen,East,District #13
15053,Son Tay,East,District #13
15054,Phu Ly,East,District #13
15055,Thai Nguyen,East,District #13
15056,Son Tay,East,District #13
15057,Bac Giang,East,District #13
15059,Cam Pha,East,District #13
15060,Bac Giang,East,District #13
15061,Ha Long,East,District #13
15062,Son Tay,East,District #13
15063,Hanoi,East,District #13
15064,Ha Long,East,District #13
15065,Nam Dinh,East,District #13
15066,Nam Dinh,East,District #13
15067,Hai Phong,East,District #13
15068,Hanoi,East,District #13
15069,Viet Tri,East,District #13
15071,Son Tay,East,District #13
15072,Hai Phong,East,District #13
15074,Thai Nguyen,East,District #13
15075,Cam Pha,East,District #13
15076,Lao Cai,East,District #13
15077,Viet Tri,East,District #13
15078,Phu Ly,East,District #13
15081,Uong Bi,East,District #13
15082,Bac Ninh,East,District #13
15083,Ha Long,East,District #13
15084,Lao Cai,East,District #13
15085,Ninh Binh,East,District #13
15086,Hanoi,East,District #13
15087,Phu Ly,East,District #13
15088,Hai Phong,East,District #13
15089,Phu Ly,East,District #13
15090,Ninh Binh,East,District #13
15091,Hai Phong,East,District #13
15095,Bac Giang,East,District #13
15096,Hai Phong,East,District #13
15101,Cam Pha,East,District #13
15102,Lao Cai,East,District #13
15104,Hai Phong,East,District #13
15106,Bac Ninh,East,District #13
15108,Son Tay,East,District #13
15110,Thai Nguyen,East,District #13
15112,Hai Phong,East,District #13
15116,Bac Giang,East,District #13
15120,Cam Pha,East,District #13
15122,Viet Tri,East,District #13
15123,Thai Nguyen,East,District #13
15126,Son Tay,East,District #13
15127,Cam Pha,East,District #13
15129,Thai Nguyen,East,District #13
15131,Son Tay,East,District #13
15132,Lao Cai,East,District #13
15133,Bac Giang,East,District #13
15134,Hanoi,East,District #13
15135,Uong Bi,East,District #13
15136,Cam Pha,East,District #13
15137,Ha Long,East,District #13
15139,Uong Bi,East,District #13
15140,Ninh Binh,East,District #13
15142,Hai Phong,East,District #13
15143,Phu Ly,East,District #13
15144,Hai Phong,East,District #13
15145,Phu Ly,East,District #13
15146,Bac Ninh,East,District #13
15147,Hanoi,East,District #13
15148,Son Tay,East,District #13
15301,Ha Long,East,District #13
15311,Uong Bi,East,District #13
15312,Ha Long,East,District #13
15313,Son Tay,East,District #13
15314,Phu Ly,East,District #13
15315,Ninh Binh,East,District #13
15316,Bac Giang,East,District #13
15317,Bac Giang,East,District #13
15320,Uong Bi,East,District #13
15321,Phu Ly,East,District #13
15322,Ninh Binh,East,District #13
15323,Hanoi,East,District #13
15324,Viet Tri,East,District #13
15325,Hai Phong,East,District #13
15327,Thai Nguyen,East,District #13
15329,Ninh Binh,East,District #13
15330,Nam Dinh,East,District #13
15331,Ninh Binh,East,District #13
15332,Bac Giang,East,District #13
15333,Nam Dinh,East,District #13
15334,Thai Nguyen,East,District #13
15336,Cam Pha,East,District #13
15337,Phu Ly,East,District #13
15338,Uong Bi,East,District #13
15339,Son Tay,East,District #13
15340,Lao Cai,East,District #13
15341,Phu Ly,East,District #13
15342,Uong Bi,East,District #13
15344,Thai Nguyen,East,District #13
15345,Bac Ninh,East,District #13
15346,Hai Phong,East,District #13
15347,Bac Ninh,East,District #13
15348,Lao Cai,East,District #13
15349,Bac Ninh,East,District #13
15350,Hai Phong,East,District #13
15351,Viet Tri,East,District #13
15353,Son Tay,East,District #13
15357,Lao Cai,East,District #13
15358,Nam Dinh,East,District #13
15359,Bac Giang,East,District #13
15360,Cam Pha,East,District #13
15361,Nam Dinh,East,District #13
15362,Nam Dinh,East,District #13
15363,Nam Dinh,East,District #13
15364,Son Tay,East,District #13
15365,Phu Ly,East,District #13
15366,Ninh Binh,East,District #13
15367,Ninh Binh,East,District #13
15368,Son Tay,East,District #13
15370,Hai Phong,East,District #13
15378,Lao Cai,East,District #13
15379,Hanoi,East,District #13
15401,Bac Giang,East,District #13
15410,Uong Bi,East,District #13
15411,Bac Ninh,East,District #13
15412,Ha Long,East,District #13
15413,Ha Long,East,District #13
15415,Ninh Binh,East,District #13
15416,Thai Nguyen,East,District #13
15417,Thai Nguyen,East,District #13
15419,Lao Cai,East,District #13
15420,Ha Long,East,District #13
15421,Lao Cai,East,District #13
15422,Lao Cai,East,District #13
15423,Uong Bi,East,District #13
15424,Ha Long,East,District #13
15425,Ha Long,East,District #13
15427,Nam Dinh,East,District #13
15428,Uong Bi,East,District #13
15429,Ha Long,East,District #13
15430,Bac Giang,East,District #13
15431,Hai Phong,East,District #13
15432,Cam Pha,East,District #13
15433,Hanoi,East,District #13
15434,Viet Tri,East,District #13
15435,Hanoi,East,District #13
15436,Ha Long,East,District #13
15437,Ha Long,East,District #13
15438,Ninh Binh,East,District #13
15439,Hanoi,East,District #13
15440,Bac Giang,East,District #13
15442,Uong Bi,East,District #13
15443,Cam Pha,East,District #13
15444,Viet Tri,East,District #13
15445,Ninh Binh,East,District #13
15446,Bac Ninh,East,District #13
15447,Ninh Binh,East,District #13
15448,Thai Nguyen,East,District #13
15449,Son Tay,East,District #13
15450,Cam Pha,East,District #13
15451,Phu Ly,East,District #13
15454,Lao Cai,East,District #13
15455,Ninh Binh,East,District #13
15456,Ninh Binh,East,District #13
15458,Cam Pha,East,District #13
15459,Hanoi,East,District #13
15460,Bac Giang,East,District #13
15461,Ha Long,East,District #13
15462,Lao Cai,East,District #13
15463,Nam Dinh,East,District #13
15464,Nam Dinh,East,District #13
15465,Nam Dinh,East,District #13
15466,Uong Bi,East,District #13
15467,Cam Pha,East,District #13
15468,Son Tay,East,District #13
15469,Bac Ninh,East,District #13
15470,Nam Dinh,East,District #13
15472,Hanoi,East,District #13
15473,Hanoi,East,District #13
15474,Bac Ninh,East,District #13
15475,Lao Cai,East,District #13
15476,Cam Pha,East,District #13
15477,Lao Cai,East,District #13
15478,Hai Phong,East,District #13
15479,Hai Phong,East,District #13
15480,Ninh Binh,East,District #13
15482,Hai Phong,East,District #13
15483,Hanoi,East,District #13
15484,Bac Ninh,East,District #13
15485,Lao Cai,East,District #13
15486,Viet Tri,East,District #13
15488,Hai Phong,East,District #13
15489,Ninh Binh,East,District #13
15490,Ninh Binh,East,District #13
15492,Ninh Binh,East,District #13
15501,Lao Cai,East,District #13
15502,Nam Dinh,East,District #13
15510,Son Tay,East,District #13
15520,Thai Nguyen,East,District #13
15521,Ninh Binh,East,District #13
15522,Uong Bi,East,District #13
15530,Phu Ly,East,District #13
15531,Uong Bi,East,District #13
15532,Uong Bi,East,District #13
15534,Uong Bi,East,District #13
15535,Phu Ly,East,District #13
15537,Phu Ly,East,District #13
15538,Hai Phong,East,District #13
15539,Ninh Binh,East,District #13
15540,Cam Pha,East,District #13
15541,Thai Nguyen,East,District #13
15542,Cam Pha,East,District #13
15544,Son Tay,East,District #13
15545,Lao Cai,East,District #13
15546,Ninh Binh,East,District #13
15547,Bac Giang,East,District #13
15548,Phu Ly,East,District #13
15549,Bac Ninh,East,District #13
15550,Viet Tri,East,District #13
15551,Uong Bi,East,District #13
15552,Nam Dinh,East,District #13
15553,Nam Dinh,East,District #13
15554,Hanoi,East,District #13
15555,Hai Phong,East,District #13
15557,Bac Giang,East,District #13
15558,Bac Giang,East,District #13
15559,Ha Long,East,District #13
15560,Bac Ninh,East,District #13
15561,Uong Bi,East,District #13
15562,Nam Dinh,East,District #13
15563,Thai Nguyen,East,District #13
15564,Bac Ninh,East,District #13
15565,Cam Pha,East,District #13
15601,Bac Ninh,East,District #13
15605,Phu Ly,East,District #13
15606,Thai Nguyen,East,District #13
15610,Bac Giang,East,District #13
15611,Bac Ninh,East,District #13
15612,Ha Long,East,District #13
15613,Viet Tri,East,District #13
15615,Nam Dinh,East,District #13
15616,Thai Nguyen,East,District #13
15617,Ninh Binh,East,District #13
15618,Son Tay,East,District #13
15619,Viet Tri,East,District #13
15620,Lao Cai,East,District #13
15621,Ninh Binh,East,District #13
15622,Bac Giang,East,District #13
15623,Phu Ly,East,District #13
15624,Thai Nguyen,East,District #13
15625,Bac Giang,East,District #13
15626,Cam Pha,East,District #13
15627,Son Tay,East,District #13
15628,Ninh Binh,East,District #13
15629,Bac Giang,East,District #13
15631,Viet Tri,East,District #13
15632,Ha Long,East,District #13
15633,Ninh Binh,East,District #13
15634,Cam Pha,East,District #13
15635,Cam Pha,East,District #13
15636,Phu Ly,East,District #13
15637,Uong Bi,East,District #13
15638,Hai Phong,East,District #13
15639,Thai Nguyen,East,District #13
15640,Ha Long,East,District #13
15641,Phu Ly,East,District #13
15642,Hanoi,East,District #13
15644,Ha Long,East,District #13
15646,Uong Bi,East,District #13
15647,Viet Tri,East,District #13
15650,Cam Pha,East,District #13
15655,Lao Cai,East,District #13
15656,Lao Cai,East,District #13
15658,Hai Phong,East,District #13
15660,Son Tay,East,District #13
15661,Uong Bi,East,District #13
15662,Uong Bi,East,District #13
15663,Hai Phong,East,District #13
15664,Uong Bi,East,District #13
15665,Phu Ly,East,District #13
15666,Uong Bi,East,District #13
15668,Hai Phong,East,District #13
15670,Cam Pha,East,District #13
15671,Son Tay,East,District #13
15672,Phu Ly,East,District #13
15673,Hai Phong,East,District #13
15674,Son Tay,East,District #13
15675,Son Tay,East,District #13
15676,Ha Long,East,District #13
15677,Ninh Binh,East,District #13
15678,Bac Ninh,East,District #13
15679,Uong Bi,East,District #13
15680,Bac Giang,East,District #13
15681,Phu Ly,East,District #13
15682,Son Tay,East,District #13
15683,Ninh Binh,East,District #13
15684,Son Tay,East,District #13
15685,Son Tay,East,District #13
15686,Hai Phong,East,District #13
15687,Nam Dinh,East,District #13
15688,Phu Ly,East,District #13
15689,Uong Bi,East,District #13
15690,Hanoi,East,District #13
15691,Hai Phong,East,District #13
15692,Cam Pha,East,District #13
15693,Uong Bi,East,District #13
15695,Ha Long,East,District #13
15696,Ha Long,East,District #13
15697,Hai Phong,East,District #13
15698,Cam Pha,East,District #13
15701,Hanoi,East,District #13
15705,Uong Bi,East,District #13
15710,Bac Giang,East,District #13
15711,Bac Giang,East,District #13
15712,Viet Tri,East,District #13
15713,Cam Pha,East,District #13
15714,Phu Ly,East,District #13
15715,Phu Ly,East,District #13
15716,Lao Cai,East,District #13
15717,Ninh Binh,East,District #13
15720,Cam Pha,East,District #13
15721,Bac Giang,East,District #13
15722,Nam Dinh,East,District #13
15723,Uong Bi,East,District #13
15724,Hai Phong,East,District #13
15725,Son Tay,East,District #13
15727,Ninh Binh,East,District #13
15728,Hai Phong,East,District #13
15729,Ninh Binh,East,District #13
15730,Hai Phong,East,District #13
15731,Phu Ly,East,District #13
15732,Hai Phong,East,District #13
15733,Bac Giang,East,District #13
15734,Viet Tri,East,District #13
15736,Phu Ly,East,District #13
15737,Bac Ninh,East,District #13
15738,Lao Cai,East,District #13
15739,Phu Ly,East,District #13
15741,Ha Long,East,District #13
15742,Viet Tri,East,District #13
15744,Phu Ly,East,District #13
15745,Thai Nguyen,East,District #13
15746,Phu Ly,East,District #13
15747,Lao Cai,East,District #13
15748,Ninh Binh,East,District #13
15750,Phu Ly,East,District #13
15752,Uong Bi,East,District #13
15753,Nam Dinh,East,District #13
15754,Ninh Binh,East,District #13
15756,Bac Ninh,East,District #13
15757,Cam Pha,East,District #13
15758,Thai Nguyen,East,District #13
15759,Thai Nguyen,East,District #13
15760,Ha Long,East,District #13
15761,Son Tay,East,District #13
15762,Ha Long,East,District #13
15763,Hai Phong,East,District #13
15764,Son Tay,East,District #13
15765,Cam Pha,East,District #13
15767,Bac Giang,East,District #13
15770,Phu Ly,East,District #13
15771,Bac Ninh,East,District #13
15772,Hai Phong,East,District #13
15773,Phu Ly,East,District #13
15774,Ha Long,East,District #13
15775,Cam Pha,East,District #13
15776,Son Tay,East,District #13
15777,Son Tay,East,District #13
15778,Bac Ninh,East,District #13
15779,Phu Ly,East,District #13
15780,Uong Bi,East,District #13
15781,Bac Giang,East,District #13
15783,Hai Phong,East,District #13
15784,Bac Ninh,East,District #13
15801,Viet Tri,East,District #13
15821,Son Tay,East,District #13
15822,Hanoi,East,District #13
15823,Phu Ly,East,District #13
15824,Ninh Binh,East,District #13
15825,Son Tay,East,District #13
15827,Bac Ninh,East,District #13
15828,Hai Phong,East,District #13
15829,Nam Dinh,East,District #13
15831,Ninh Binh,East,District #13
15832,Lao Cai,East,District #13
15840,Uong Bi,East,District #13
15841,Hai Phong,East,District #13
15845,Hai Phong,East,District #13
15846,Bac Giang,East,District #13
15847,Uong Bi,East,District #13
15848,Hanoi,East,District #13
15849,Viet Tri,East,District #13
15851,Cam Pha,East,District #13
15853,Hanoi,East,District #13
15856,Hai Phong,East,District #13
15857,Bac Giang,East,District #13
15860,Phu Ly,East,District #13
15861,Ninh Binh,East,District #13
15863,Bac Giang,East,District #13
15864,Thai Nguyen,East,District #13
15865,Son Tay,East,District #13
15866,Bac Giang,East,District #13
15868,Thai Nguyen,East,District #13
15870,Bac Giang,East,District #13
15901,Hanoi,East,District #13
15902,Thai Nguyen,East,District #13
15904,Cam Pha,East,District #13
15905,Lao Cai,East,District #13
15906,Phu Ly,East,District #13
15907,Phu Ly,East,District #13
15909,Cam Pha,East,District #13
15915,Hai Phong,East,District #13
15920,Bac Ninh,East,District #13
15921,Son Tay,East,District #13
15922,Hanoi,East,District #13
15923,Lao Cai,East,District #13
15924,Viet Tri,East,District #13
15925,Nam Dinh,East,District #13
15926,Phu Ly,East,District #13
15927,Ninh Binh,East,District #13
15928,Hanoi,East,District #13
15929,Hai Phong,East,District #13
15930,Viet Tri,East,District #13
15931,Son Tay,East,District #13
15934,Hanoi,East,District #13
15935,Viet Tri,East,District #13
15936,Hai Phong,East,District #13
17555,Viet Tri,East,District #04
18015,Uong Bi,East,District #04
18016,Hai Phong,East,District #04
18018,Viet Tri,East,District #04
18025,Lao Cai,East,District #04
18034,Lao Cai,East,District #04
18036,Hanoi,East,District #04
18039,Nam Dinh,East,District #04
18041,Nam Dinh,East,District #04
18046,Bac Giang,East,District #04
18049,Ha Long,East,District #04
18054,Ninh Binh,East,District #04
18055,Phu Ly,East,District #04
18056,Ninh Binh,East,District #04
18060,Ha Long,East,District #04
18062,Hanoi,East,District #04
18068,Lao Cai,East,District #04
18070,Thai Nguyen,East,District #04
18073,Viet Tri,East,District #04
18074,Lao Cai,East,District #04
18076,Hanoi,East,District #04
18077,Hanoi,East,District #04
18081,Hanoi,East,District #04
18084,Ha Long,East,District #04
18087,Hanoi,East,District #04
18092,Ninh Binh,East,District #04
18098,Uong Bi,East,District #04
18099,Son Tay,East,District #04
18103,Ninh Binh,East,District #04
18106,Son Tay,East,District #04
18195,Nam Dinh,East,District #04
18901,Thai Nguyen,East,District #04
18902,Ninh Binh,East,District #04
18910,Nam Dinh,East,District #04
18911,Hanoi,East,District #04
18912,Viet Tri,East,District #04
18913,Ninh Binh,East,District #04
18914,Son Tay,East,District #04
18915,Lao Cai,East,District #04
18916,Hai Phong,East,District #04
18917,Phu Ly,East,District #04
18918,Ninh Binh,East,District #04
18920,Viet Tri,East,District #04
