return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount
RET-000131,2170,2384,2012-07-28,wrong_size,1,7441.06
RET-000132,2174,596,2012-07-23,late_delivery,7,63977.13
RET-000133,2180,596,2012-08-09,defective,3,24861.66
RET-000134,2182,676,2012-07-31,defective,4,36202.95
RET-000135,2191,826,2012-07-28,changed_mind,1,11806.56
RET-000136,2204,964,2012-08-06,not_as_described,1,3439.77
RET-000137,2213,2250,2012-07-31,changed_mind,1,1469.26
RET-000138,2213,2251,2012-08-11,wrong_size,1,1488.29
RET-000141,2270,753,2012-08-01,wrong_size,1,2893.39
RET-000143,2325,915,2012-07-30,wrong_size,4,26661.58
RET-000144,2331,990,2012-08-03,wrong_size,4,20661.21
RET-000146,2367,966,2012-08-09,not_as_described,3,15035.92
RET-000151,2422,819,2012-08-14,wrong_size,2,25515.22
RET-000152,2468,1006,2012-08-10,wrong_size,4,4338.81
RET-000153,2470,1484,2012-08-11,not_as_described,8,7334.93
RET-000155,2524,2255,2012-07-27,changed_mind,4,2908.81
RET-000156,2532,2396,2012-07-29,not_as_described,1,1169.99
RET-000157,2538,2070,2012-08-10,wrong_size,3,16457.87
RET-000158,2543,606,2012-07-31,not_as_described,8,26810.39
RET-000159,2545,609,2012-08-10,wrong_size,1,9034.59
RET-000160,2548,2074,2012-08-03,wrong_size,4,15279.77
RET-000161,2567,966,2012-08-03,wrong_size,7,36252.76
RET-000163,2628,1298,2012-08-10,wrong_size,3,12779.24
RET-000164,2636,1061,2012-08-07,changed_mind,4,6123.19
RET-000165,2651,2252,2012-08-07,defective,1,1359.22
RET-000168,2715,635,2012-08-03,wrong_size,1,9780.3
RET-000169,2730,1228,2012-08-03,wrong_size,3,5027.16
RET-000170,2780,990,2012-07-30,not_as_described,2,10684.82
RET-000171,2788,981,2012-08-05,wrong_size,4,7393.82
RET-000173,2846,513,2012-08-02,not_as_described,3,14895.72
RET-000174,2858,604,2012-07-31,late_delivery,3,18245.16
RET-000175,2875,475,2012-08-10,changed_mind,3,36474.91
RET-000177,2927,1114,2012-08-03,defective,2,3570.74
RET-000179,2991,1215,2012-08-03,not_as_described,2,7432.63
RET-000181,3050,915,2012-08-01,wrong_size,4,25267.97
RET-000182,3054,785,2012-08-03,wrong_size,3,2098.44
RET-000183,3054,786,2012-07-30,late_delivery,2,1360.99
RET-000184,3092,2226,2012-08-03,late_delivery,2,7295.16
RET-000185,3092,2227,2012-08-08,wrong_size,1,3285.94
RET-000187,3110,757,2012-08-04,not_as_described,3,2387.25
RET-000188,3110,758,2012-07-31,late_delivery,2,1657.41
RET-000191,3161,910,2012-08-10,wrong_size,2,9683.54
RET-000192,3164,1144,2012-07-31,wrong_size,4,19559.76
RET-000193,3260,1065,2012-08-10,not_as_described,5,17881.67
RET-000194,3290,2240,2012-08-13,wrong_size,1,984.42
RET-000195,3290,2241,2012-08-02,defective,1,954.74
RET-000196,3292,2071,2012-08-12,defective,1,3775.1
RET-000197,3297,2400,2012-08-12,defective,2,1974.84
RET-000198,3311,767,2012-08-02,not_as_described,2,2100.58
RET-000199,3312,768,2012-08-03,wrong_size,1,1015.15
RET-000201,3350,826,2012-08-08,late_delivery,2,24204.09
RET-000202,3396,2331,2012-08-03,changed_mind,1,7045.2
RET-000203,3419,2327,2012-08-02,defective,1,6320.27
RET-000204,3430,573,2012-08-10,wrong_size,3,11045.95
RET-000205,3438,2343,2012-07-30,late_delivery,4,22110.53
RET-000206,3441,785,2012-08-08,not_as_described,3,1891.79
RET-000207,3441,786,2012-08-03,wrong_size,3,1807.63
RET-000209,3462,1131,2012-08-12,changed_mind,1,4849.52
RET-000210,3475,1053,2012-08-02,wrong_size,1,3156.88
RET-000211,3506,915,2012-07-29,defective,4,26223.03
RET-000212,3512,2070,2012-08-17,changed_mind,1,5848.22
RET-000213,3516,2252,2012-08-04,wrong_size,1,1630.72
RET-000214,3516,2253,2012-08-12,defective,4,6339.72
RET-000215,3529,1085,2012-08-05,wrong_size,1,1071.85
RET-000216,3529,1086,2012-08-05,wrong_size,4,4099.03
RET-000217,3547,676,2012-08-10,wrong_size,1,9334.5
RET-000218,3562,443,2012-08-05,defective,5,48043.84
RET-000219,3574,2055,2012-08-02,changed_mind,1,6453.8
RET-000220,3638,757,2012-08-09,late_delivery,1,790.13
RET-000221,3638,758,2012-08-15,wrong_size,1,760.69
RET-000222,3693,2388,2012-08-08,wrong_size,6,19941.69
RET-000223,3713,2091,2012-08-03,not_as_described,2,3643.22
RET-000225,3727,992,2012-07-26,wrong_size,2,6401.39
RET-000227,3740,1393,2012-07-29,defective,1,3937.75
RET-000228,3740,1394,2012-08-13,not_as_described,5,20064.34
RET-000229,3763,443,2012-08-09,defective,3,29251.6
RET-000230,3775,622,2012-08-09,changed_mind,1,9240.15
RET-000231,3815,757,2012-08-07,defective,2,1623.82
RET-000232,3815,758,2012-08-09,defective,1,839.29
RET-000233,3818,910,2012-08-05,defective,2,8696.18
RET-000234,3819,631,2012-07-31,wrong_size,1,4203.36
RET-000235,3824,967,2012-08-05,wrong_size,2,16659.39
RET-000236,3837,596,2012-08-12,wrong_size,1,8652.52
RET-000237,3838,915,2012-08-16,late_delivery,1,5749.72
RET-000238,3839,2204,2012-08-12,not_as_described,1,1595.2
RET-000240,3853,915,2012-08-14,changed_mind,3,19009.01
RET-000241,3854,1916,2012-07-28,defective,7,23025.54
RET-000242,3864,2012,2012-07-31,late_delivery,3,11871.86
RET-000244,3972,2400,2012-08-20,defective,2,2047.83
RET-000245,3983,769,2012-08-13,defective,1,2992.97
RET-000246,3994,1934,2012-08-07,wrong_size,4,5785.98
RET-000247,3994,1935,2012-07-29,defective,2,2943.13
RET-000248,4010,786,2012-08-15,wrong_size,2,1273.45
RET-000249,4027,785,2012-08-09,wrong_size,4,2723.42
RET-000250,4027,786,2012-08-07,late_delivery,1,652.26
RET-000251,4102,914,2012-08-03,late_delivery,4,24914.74
RET-000252,4129,981,2012-08-05,wrong_size,1,1796.56
RET-000253,4130,635,2012-08-21,defective,5,48265.69
RET-000256,4150,966,2012-08-13,wrong_size,5,27012.19
RET-000257,4151,915,2012-08-19,not_as_described,1,6255.78
RET-000258,4167,785,2012-08-03,wrong_size,2,1314.65
RET-000259,4175,964,2012-07-30,wrong_size,1,3875.34
RET-000262,4191,604,2012-08-12,not_as_described,3,17808.62
RET-000263,4247,910,2012-08-18,wrong_size,1,4729.35
RET-000264,4305,2384,2012-07-31,not_as_described,1,7028.77
RET-000265,4317,1775,2012-08-20,late_delivery,4,31242.43
RET-000270,4349,1936,2012-08-16,wrong_size,3,8979.19
RET-000271,4360,2255,2012-08-10,wrong_size,1,712.67
RET-000272,4394,2053,2012-08-22,wrong_size,1,3749.7
RET-000273,4396,819,2012-08-03,wrong_size,6,80250.63
RET-000274,4428,2064,2012-08-11,not_as_described,1,6165.22
RET-000276,4526,1936,2012-08-14,wrong_size,6,19911.07
RET-000277,4526,1937,2012-08-17,not_as_described,4,12888.07
RET-000278,4567,910,2012-08-18,late_delivery,2,10038.22
RET-000279,4575,2331,2012-08-17,wrong_size,1,6298.46
RET-000280,4587,725,2012-08-03,wrong_size,1,1316.22
RET-000281,4589,596,2012-08-07,defective,5,45591.35
RET-000283,4607,2380,2012-08-09,changed_mind,5,16806.67
RET-000285,4625,2064,2012-08-05,not_as_described,4,23711.11
RET-000286,4630,475,2012-08-22,wrong_size,2,23922.3
RET-000288,4636,768,2012-08-07,wrong_size,3,2978.72
RET-000289,4681,606,2012-08-19,wrong_size,1,3834.57
RET-000290,4699,1096,2012-07-31,changed_mind,6,8270.6
RET-000291,4731,726,2012-08-21,defective,3,3677.56
RET-000293,4772,269,2012-08-10,defective,4,20556.63
RET-000295,4817,770,2012-08-16,changed_mind,4,12091.9
RET-000296,4826,573,2012-08-15,defective,1,3600.88
RET-000297,4831,647,2012-08-18,wrong_size,8,80306.94
RET-000298,4853,475,2012-08-03,wrong_size,1,11772.32
RET-000299,4860,2241,2012-08-17,wrong_size,1,949.49
RET-000300,4871,757,2012-08-07,defective,1,846.88
RET-000301,4871,758,2012-08-04,not_as_described,1,839.83
RET-000302,4901,2396,2012-08-09,defective,7,7478.71
RET-000303,4909,2254,2012-08-18,defective,3,1875.1
RET-000304,4909,2255,2012-08-17,wrong_size,5,3144.43
RET-000305,4914,2388,2012-08-14,not_as_described,1,3439.82
RET-000306,4915,826,2012-08-09,wrong_size,4,45553.76
RET-000307,4917,1847,2012-08-21,defective,1,1355.0
RET-000308,4950,2384,2012-08-07,late_delivery,5,34615.29
RET-000309,4953,2054,2012-08-12,wrong_size,1,5939.48
RET-000310,5040,1086,2012-08-13,wrong_size,2,1912.35
RET-000311,5048,472,2012-08-15,not_as_described,3,30335.27
RET-000312,5059,635,2012-08-12,defective,1,9474.09
RET-000313,5090,1974,2012-08-08,wrong_size,4,2461.47
RET-000314,5090,1975,2012-08-17,changed_mind,2,1329.33
RET-000316,5156,400,2012-08-12,wrong_size,2,17798.8
RET-000318,5165,550,2012-08-01,wrong_size,2,8920.46
RET-000319,5168,1081,2012-08-13,changed_mind,1,2764.72
RET-000320,5168,2327,2012-08-03,late_delivery,3,20539.82
RET-000321,5202,1934,2012-08-18,not_as_described,6,8823.87
RET-000322,5202,1935,2012-08-18,defective,1,1378.08
RET-000323,5214,1963,2012-08-20,wrong_size,7,11791.05
RET-000324,5218,952,2012-08-05,late_delivery,1,3077.59
RET-000325,5241,725,2012-08-09,not_as_described,2,2632.16
RET-000326,5241,726,2012-08-02,wrong_size,1,1295.94
RET-000327,5245,1057,2012-08-19,wrong_size,1,1401.11
RET-000328,5245,1058,2012-08-20,changed_mind,2,3094.99
RET-000329,5249,966,2012-08-11,not_as_described,2,9995.73
RET-000330,5253,2053,2012-08-22,wrong_size,2,7907.13
RET-000331,5293,1962,2012-08-20,wrong_size,5,8216.82
RET-000332,5294,1963,2012-08-07,changed_mind,1,1714.63
RET-000334,5316,786,2012-08-05,wrong_size,1,604.16
RET-000335,5331,2331,2012-08-15,changed_mind,5,36619.19
RET-000336,5335,915,2012-08-17,defective,4,23751.77
RET-000337,5344,514,2012-08-15,changed_mind,2,10790.76
RET-000338,5362,2400,2012-08-13,defective,6,6202.16
RET-000339,5388,1891,2012-08-10,not_as_described,5,38320.09
RET-000340,5396,635,2012-08-13,defective,3,27682.86
RET-000341,5452,785,2012-08-24,wrong_size,1,668.31
RET-000342,5452,786,2012-08-22,late_delivery,1,690.83
RET-000343,5460,1001,2012-08-10,wrong_size,1,4655.42
RET-000344,5479,36,2012-08-19,wrong_size,2,10940.52
RET-000345,5507,1943,2012-08-17,changed_mind,2,2668.56
RET-000348,5546,1974,2012-08-01,changed_mind,1,652.33
RET-000349,5631,826,2012-08-06,changed_mind,8,86776.74
RET-000350,5634,1298,2012-08-15,not_as_described,7,30932.62
RET-000351,5637,1926,2012-08-13,not_as_described,5,5180.3
RET-000352,5637,1927,2012-08-14,defective,1,1074.44
RET-000353,5643,606,2012-08-12,not_as_described,4,13988.61
RET-000354,5686,2046,2012-08-14,defective,1,4702.9
RET-000355,5694,757,2012-08-10,wrong_size,4,3474.94
RET-000356,5694,758,2012-08-17,changed_mind,4,3100.71
RET-000357,5697,1114,2012-08-06,changed_mind,1,1953.68
RET-000358,5707,729,2012-08-06,wrong_size,2,6713.7
RET-000359,5718,767,2012-08-19,changed_mind,5,5571.7
RET-000361,5765,93,2012-08-09,not_as_described,4,46022.07
RET-000362,5786,2012,2012-08-23,wrong_size,1,3977.18
RET-000367,5945,484,2012-08-19,defective,2,26821.78
RET-000368,5974,1903,2012-08-11,not_as_described,7,58313.14
RET-000371,6032,992,2012-08-24,changed_mind,2,6096.02
RET-000372,6046,414,2012-08-13,late_delivery,1,5728.8
RET-000374,6077,981,2012-08-15,wrong_size,4,7579.95
RET-000375,6095,733,2012-08-16,defective,2,8094.19
RET-000376,6096,681,2012-08-07,late_delivery,1,7990.72
RET-000377,6097,550,2012-08-24,late_delivery,2,9591.76
RET-000378,6116,725,2012-08-10,wrong_size,6,7537.48
RET-000379,6116,726,2012-08-21,wrong_size,1,1281.21
RET-000380,6119,733,2012-08-12,defective,1,3944.33
RET-000381,6119,734,2012-08-22,wrong_size,1,3707.99
RET-000383,6154,769,2012-08-17,late_delivery,3,9906.52
RET-000384,6154,770,2012-08-28,late_delivery,2,5908.7
RET-000385,6157,725,2012-08-09,wrong_size,1,1186.22
RET-000386,6233,574,2012-08-21,not_as_described,3,29252.28
RET-000387,6236,596,2012-08-10,wrong_size,4,33621.14
RET-000388,6241,2081,2012-08-14,wrong_size,6,16329.95
RET-000389,6256,671,2012-08-14,late_delivery,1,9815.21
RET-000390,6276,785,2012-08-23,not_as_described,1,601.49
RET-000391,6324,797,2012-08-16,defective,2,6489.3
RET-000392,6350,2241,2012-08-23,defective,1,990.54
RET-000394,6374,966,2012-08-18,wrong_size,1,5313.85
RET-000395,6400,725,2012-08-24,late_delivery,4,5239.97
RET-000396,6416,2241,2012-08-20,wrong_size,3,2972.02
RET-000397,6417,2240,2012-08-18,not_as_described,1,1004.11
RET-000398,6437,475,2012-08-24,wrong_size,4,47903.29
RET-000399,6459,2053,2012-08-25,not_as_described,5,18959.61
RET-000402,6479,671,2012-08-22,defective,2,20593.53
RET-000403,6482,1425,2012-08-25,wrong_size,1,3243.65
RET-000404,6482,1426,2012-08-22,changed_mind,1,3489.04
RET-000405,6520,2280,2012-08-27,not_as_described,6,10689.06
RET-000406,6560,767,2012-08-23,wrong_size,1,1124.12
RET-000409,6616,795,2012-08-23,not_as_described,2,6094.32
RET-000410,6616,796,2012-08-25,wrong_size,2,6485.78
RET-000412,6687,2064,2012-08-14,changed_mind,2,12208.45
RET-000413,6694,396,2012-08-24,defective,1,10697.75
RET-000414,6722,954,2012-08-18,defective,2,16761.48
RET-000415,6723,1916,2012-08-13,defective,7,25482.28
RET-000416,6751,1005,2012-08-26,defective,2,2478.8
RET-000417,6752,604,2012-08-16,defective,1,5527.57
RET-000420,6809,604,2012-08-18,defective,4,22412.82
RET-000421,6811,2045,2012-08-24,changed_mind,3,14682.27
RET-000422,6825,758,2012-08-17,late_delivery,2,1782.0
RET-000423,6849,816,2012-08-20,wrong_size,4,15721.97
RET-000425,6894,514,2012-08-15,wrong_size,1,5185.6
RET-000426,6910,671,2012-08-19,changed_mind,2,20913.13
RET-000427,6933,499,2012-08-21,not_as_described,1,10216.51
RET-000428,6956,1000,2012-08-13,changed_mind,1,1053.82
RET-000431,7024,826,2012-08-19,not_as_described,2,22907.04
RET-000432,7034,2054,2012-08-11,not_as_described,1,5909.45
RET-000434,7065,826,2012-08-28,changed_mind,6,70296.05
RET-000436,7188,767,2012-08-15,late_delivery,3,3262.89
RET-000437,7191,786,2012-08-21,defective,4,2638.85
RET-000439,7210,2254,2012-08-16,defective,3,1979.18
RET-000440,7228,502,2012-08-18,defective,1,12574.33
RET-000441,7238,2254,2012-08-23,wrong_size,5,3144.8
RET-000442,7238,2255,2012-08-24,not_as_described,5,3304.86
RET-000443,7244,573,2012-08-30,wrong_size,2,6222.7
RET-000444,7302,2400,2012-08-21,wrong_size,1,1076.06
RET-000445,7320,1188,2012-08-12,changed_mind,8,39772.72
RET-000447,7341,2054,2012-08-20,defective,1,7082.88
RET-000449,7378,2400,2012-08-14,wrong_size,3,3149.63
RET-000451,7445,4,2012-08-20,wrong_size,8,69213.2
RET-000452,7503,575,2012-08-23,wrong_size,1,10026.26
RET-000454,7622,785,2012-08-23,not_as_described,8,5137.74
RET-000455,7622,786,2012-08-24,wrong_size,2,1410.07
RET-000456,7622,797,2012-08-30,late_delivery,1,3385.61
RET-000457,7647,862,2012-08-21,late_delivery,2,3940.39
RET-000458,7651,2081,2012-08-12,changed_mind,6,14995.37
RET-000459,7663,826,2012-08-29,defective,2,22660.13
RET-000460,7671,1000,2012-08-24,defective,3,3176.57
RET-000461,7679,2081,2012-08-14,late_delivery,3,7650.42
RET-000463,7714,2064,2012-08-18,defective,2,12098.75
RET-000464,7742,1001,2012-08-15,defective,3,13922.09
RET-000465,7755,396,2012-08-26,changed_mind,2,21377.61
RET-000466,7755,964,2012-08-25,late_delivery,2,6854.48
RET-000467,7780,992,2012-08-27,not_as_described,7,21703.34
RET-000469,7846,2050,2012-08-19,wrong_size,3,18081.52
RET-000470,7846,2153,2012-08-19,not_as_described,8,51115.53
RET-000473,7900,1963,2012-08-17,defective,4,6117.87
RET-000474,7912,2070,2012-08-13,defective,4,21331.94
RET-000476,7927,895,2012-08-29,late_delivery,2,13002.96
RET-000477,7931,964,2012-08-16,changed_mind,4,14964.24
RET-000479,7941,1000,2012-08-22,defective,1,1095.65
RET-000480,7947,826,2012-08-16,wrong_size,1,11978.6
RET-000481,7969,2380,2012-08-10,wrong_size,3,10957.05
RET-000482,7980,681,2012-08-20,changed_mind,5,39837.39
RET-000483,7980,2400,2012-08-20,not_as_described,6,6567.81
RET-000484,7990,826,2012-08-16,defective,3,37851.82
RET-000485,8019,2354,2012-08-28,wrong_size,7,31034.22
RET-000486,8027,954,2012-08-21,changed_mind,2,16112.97
RET-000487,8051,2045,2012-08-21,wrong_size,2,10258.06
RET-000488,8055,1203,2012-08-27,changed_mind,4,14504.51
RET-000489,8067,1203,2012-08-18,wrong_size,1,3746.29
RET-000490,8073,990,2012-08-19,defective,1,4597.74
RET-000491,8083,331,2012-08-28,changed_mind,2,19975.82
RET-000493,8109,768,2012-08-22,defective,6,6869.2
RET-000494,8122,767,2012-08-24,defective,1,1035.21
RET-000495,8122,768,2012-08-13,defective,3,3094.0
RET-000497,8152,964,2012-08-26,wrong_size,3,10151.33
RET-000499,8177,1934,2012-08-25,changed_mind,1,1496.51
RET-000500,8237,1934,2012-08-25,wrong_size,1,1415.21
RET-000501,8237,1935,2012-08-20,wrong_size,1,1422.12
RET-000504,8328,2277,2012-08-24,defective,1,3270.73
RET-000506,8358,757,2012-08-11,late_delivery,2,1541.3
RET-000507,8418,472,2012-08-23,wrong_size,1,11760.54
RET-000508,8426,499,2012-08-10,wrong_size,2,19549.98
RET-000509,8431,691,2012-08-18,defective,1,4670.56
RET-000510,8434,2050,2012-08-31,not_as_described,1,5430.35
RET-000511,8478,502,2012-08-25,defective,4,49797.26
RET-000512,8485,1490,2012-08-19,not_as_described,2,5703.46
RET-000513,8521,1182,2012-08-11,defective,3,6336.06
RET-000514,8522,481,2012-08-17,wrong_size,2,17844.3
RET-000515,8523,573,2012-08-19,defective,3,9722.49
RET-000516,8529,645,2012-08-25,late_delivery,3,23204.04
RET-000519,8541,1859,2012-08-24,changed_mind,1,1642.89
RET-000520,8571,1182,2012-08-27,defective,6,10963.52
RET-000521,8626,631,2012-08-31,defective,2,8077.15
RET-000522,8628,437,2012-08-22,not_as_described,6,50627.12
RET-000524,8676,1847,2012-08-23,not_as_described,2,3046.52
RET-000525,8681,467,2012-08-11,wrong_size,4,43794.76
RET-000527,8705,2352,2012-08-15,changed_mind,1,4251.78
RET-000530,8737,31,2012-08-18,changed_mind,2,16378.62
RET-000531,8739,2269,2012-08-15,wrong_size,1,3300.89
RET-000533,8801,671,2012-08-29,changed_mind,5,48543.64
RET-000534,8844,2254,2012-08-23,not_as_described,3,2150.89
RET-000535,8844,2255,2012-08-30,changed_mind,3,1894.79
RET-000536,8875,2251,2012-09-05,changed_mind,2,2803.24
RET-000537,8880,1046,2012-08-29,late_delivery,1,1090.97
RET-000538,8887,2374,2012-08-28,not_as_described,1,6616.25
RET-000540,8933,445,2012-09-01,not_as_described,4,42655.54
RET-000541,8954,2359,2012-08-22,changed_mind,1,5262.06
RET-000542,8961,2269,2012-08-27,changed_mind,2,6989.26
RET-000543,9009,2053,2012-08-25,wrong_size,4,15529.84
RET-000544,9012,989,2012-08-27,wrong_size,1,4962.22
RET-000545,9016,467,2012-08-12,defective,5,49945.74
RET-000546,9018,992,2012-09-04,not_as_described,2,6084.44
RET-000547,9026,981,2012-08-31,defective,1,1899.74
RET-000548,9068,1173,2012-08-27,wrong_size,1,5725.97
RET-000551,9082,725,2012-08-31,wrong_size,2,2265.84
RET-000553,9113,725,2012-08-26,defective,4,5304.64
RET-000554,9113,726,2012-08-31,wrong_size,7,8608.31
RET-000555,9129,2396,2012-08-29,defective,2,2235.39
RET-000556,9141,1847,2012-08-26,changed_mind,2,2762.54
RET-000557,9171,964,2012-08-27,changed_mind,1,3375.84
RET-000558,9186,2277,2012-08-26,defective,1,2977.18
RET-000559,9201,826,2012-09-01,defective,4,46123.59
RET-000562,9262,2253,2012-08-20,changed_mind,3,4647.15
RET-000564,9283,940,2012-08-30,wrong_size,2,15634.53
RET-000565,9287,2199,2012-08-18,changed_mind,2,4730.27
RET-000566,9351,739,2012-08-25,defective,1,1867.27
RET-000567,9351,740,2012-09-06,defective,3,5725.91
RET-000568,9354,638,2012-08-18,defective,1,10882.16
RET-000569,9374,1213,2012-08-20,late_delivery,3,17302.41
RET-000570,9386,2204,2012-09-03,wrong_size,2,3500.15
RET-000571,9387,2205,2012-08-20,wrong_size,2,3103.29
RET-000572,9389,2371,2012-08-24,not_as_described,1,6264.16
RET-000573,9393,1188,2012-08-26,late_delivery,4,21728.1
RET-000574,9409,2254,2012-08-21,defective,2,1227.23
RET-000575,9440,676,2012-08-23,not_as_described,8,74849.94
RET-000576,9447,758,2012-08-25,late_delivery,1,786.93
RET-000577,9451,2269,2012-08-30,wrong_size,3,11727.9
RET-000578,9463,2241,2012-08-26,changed_mind,2,2056.98
RET-000579,9471,826,2012-09-05,wrong_size,5,60058.7
RET-000580,9472,2250,2012-08-31,not_as_described,1,1505.47
RET-000581,9472,2251,2012-08-24,changed_mind,6,8275.13
RET-000583,9551,475,2012-08-26,changed_mind,5,55186.39
RET-000584,9588,915,2012-08-19,defective,2,12985.01
